,delito,esco_apro,esco_act,continuidadEscolar,ocupacion
159,"PORTE, TRAFICO O FABRICACION DE ESTUPEFACIENTES",QUINTO,BACHILLER,Si,CESANTE
160,HURTO AGRAVADO Y CALIFICADO,SEXTO,SEXTO,No,TRABAJA
161,HURTO AGRAVADO,NOVENO,NOVENO,No,TRABAJA
162,HURTO CALIFICADO,OCTAVO,OCTAVO,No,CESANTE
163,VENTA Y PORTE DE ESTUPEFACIENTES,OCTAVO,NOVENO,Si,ESTUDIA
164,HURTO,DECIMO,DECIMO,No,TRABAJA
165,HOMICIDIO,BACHILLER,CORPOSANDER,Si,ESTUDIA
166,PORTE ILEGAL DE ARMAS,QUINTO,QUINTO,No,TRABAJA
167,VIOLENCIA INTRAFAMILIAR,QUINTO,QUINTO,No,CESANTE
168,HOMICIDIO,BACHILLER,BACHILLER,No,CESANTE
169,RECEPTACION,OCTAVO,NOVENO ,Si,ESTUDIA
170,HURTO AGRAVADO Y CALIFICADO,QUINTO,NINGUNA,Si,TRABAJA
171,HURTO AGRAVADO,QUINTO,QUINTO,No,CESANTE
172,LESIONES PERSONALES,SEXTO,SEXTO,No,TRABAJA
173,RECEPTACION,QUINTO,QUINTO,No,CESANTE
174,HOMICIDIO EN GRADO DE TENTATIVA,CUARTO,CUARTO,No,CESANTE
175,PORTE DE ESTUPEFACIENTES,BACHILLER,BACHILLER,No,CESANTE
176,HURTO,SEXTO,SEXTO,No,CESANTE
177,HURTO AGRAVADO Y CALIFICADO,QUINTO,CICLO III,Si,CESANTE
178,ABUSO SEXUAL EN MENOR DE 14 ANNOS,NOVENO,NOVENO,No,ESTUDIA
179,RECEPTACION,OCTAVO,OCTAVO,No,CESANTE
180,VENTA Y PORTE DE ESTUPEFACIENTES,QUINTO,QUINTO,No,CESANTE
181,DANNO EN BIEN AJENO,SEXTO,SEXTO,No,CESANTE
182,HURTO,QUINTO,QUINTO,No,CESANTE
183,PORTE DE ESTUPEFACIENTES,BACHILLER,BACHILLER,No,CESANTE
184,VIOLENCIA INTRAFAMILIAR,QUINTO,QUINTO,No,TRABAJA
185,LESIONES PERSONALES,OCTAVO,OCTAVO,No,CESANTE
186,HURTO AGRAVADO,NOVENO,NOVENO,No,TRABAJA
187,HURTO AGRAVADO Y CALIFICADO,QUINTO,QUINTO,No,CESANTE
188,HURTO,SEPTIMO,SEPTIMO,No,TRABAJA
189,VENTA Y PORTE DE ESTUPEFACIENTES,CUARTO,QUINTO,Si,CESANTE
190,ABUSO SEXUAL EN MENOR DE 14 ANNOS,SEPTIMO,SEPTIMO,No,CESANTE
191,VIOLENCIA INTRAFAMILIAR,DECIMO,DECIMO,No,CESANTE
192,HURTO,SEXTO,SEXTO,No,CESANTE
193,VIOLENCIA INTRAFAMILIAR,SEPTIMO,SEPTIMO,No,CESANTE
194,VIOLENCIA INTRAFAMILIAR,SEPTIMO,SEPTIMO,No,CESANTE
195,HURTO,OCTAVO,OCTAVO,No,CESANTE
196,HURTO AGRAVADO Y CALIFICADO,NOVENO,DECIMO,Si,CESANTE
197,HOMICIDIO,SEPTIMO,SEPTIMO,No,CESANTE
198,VIOLENCIA INTRAFAMILIAR,CUARTO,CUARTO,No,CESANTE
199,VENTA Y PORTE DE ESTUPEFACIENTES,QUINTO,QUINTO,No,CESANTE
200,VENTA Y PORTE DE ESTUPEFACIENTES,SEXTO,SEXTO,No,CESANTE
201,VIOLENCIA INTRAFAMILIAR,SEXTO,SEXTO,No,TRABAJA
202,HURTO AGRAVADO Y CALIFICADO,SEPTIMO,SEPTIMO,No,CESANTE
203,"PORTE, TRAFICO O FABRICACION DE ESTUPEFACIENTES",QUINTO,QUINTO,No,CESANTE
204,ABUSO SEXUAL EN MENOR DE 14 ANNOS,BACHILLER,TECNICO,Si,TRABAJA
205,RECEPTACION,SEXTO,SEXTO,No,CESANTE
206,HURTO AGRAVADO Y CALIFICADO,CUARTO,CUARTO,No,CESANTE
207,PORTE DE ESTUPEFACIENTES,QUINTO,QUINTO,No,CESANTE
208,LESIONES PERSONALES AGRAVADAS,QUINTO,QUINTO,No,ESTUDIA
209,HURTO AGRAVADO Y CALIFICADO,TERCERO,TERCERO,No,CESANTE
210,RECEPTACION,SEPTIMO,OCTAVO,Si,ESTUDIA
211,HURTO AGRAVADO Y CALIFICADO,SEXTO,SEXTO,No,TRABAJA
212,EXTORSION EN GRADO DE TENTATIVA,TERCERO,TERCERO,No,ESTUDIA
213,VIOLENCIA INTRAFAMILIAR,QUINTO,QUINTO,No,CESANTE
214,HURTO Y PORTE ILEGAL DE ARMAS,QUINTO,QUINTO,No,CESANTE
215,RECEPTACION,NOVENO,CICLO V,Si,TRABAJA
216,ACCESO CARNAL VIOLENTO A MENOR DE 14 ANNOS,SEPTIMO,SEPTIMO,No,ESTUDIA
