,clasificacion_grado,nivelConsumo,ocupacion,des_ocupacion,escoApro,des_esco_apro,escoActu,des_esco_act
92,9,3,2,ESTUDIA,12,BACHILLER,12.0,BACHILLER
93,17,1,2,ESTUDIA,7,SEPTIMO,7.0,SEPTIMO
94,19,3,5,TRABAJA,7,SEPTIMO,7.0,SEPTIMO
95,17,1,2,ESTUDIA,12,BACHILLER,14.0,TECNOLOGIA
96,19,1,2,ESTUDIA,12,BACHILLER,12.0,BACHILLER
97,17,1,2,ESTUDIA,12,BACHILLER,13.0,TECNICO
98,19,1,5,TRABAJA,12,BACHILLER,13.0,TECNICO
99,19,3,5,TRABAJA,5,QUINTO,5.0,CICLO III
100,13,1,5,TRABAJA,5,QUINTO,5.0,CICLO III
101,17,1,2,ESTUDIA,12,BACHILLER,13.0,TECNICO
102,17,3,1,CESANTE,5,QUINTO,5.0,CICLO III
103,17,3,1,CESANTE,5,QUINTO,5.0,CICLO III
104,4,6,1,CESANTE,5,QUINTO,5.0,CICLO III
105,7,5,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
106,9,3,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
107,9,3,1,CESANTE,12,BACHILLER,13.0,TECNICO
108,7,6,5,TRABAJA,7,SEPTIMO,7.0,SEPTIMO
109,14,1,2,ESTUDIA,9,NOVENO,11.0,CICLO V
110,19,1,5,TRABAJA,5,QUINTO,5.0,QUINTO
111,19,1,2,ESTUDIA,9,NOVENO,9.0,NOVENO
112,21,1,5,TRABAJA,4,CUARTO,4.0,CUARTO
113,9,1,5,TRABAJA,6,SEXTO,5.0,CICLO III
114,15,2,5,TRABAJA,12,BACHILLER,12.0,BACHILLER
115,19,5,1,CESANTE,7,SEPTIMO,9.0,CICLO IV
116,18,4,1,CESANTE,10,DECIMO,10.0,DECIMO
117,19,5,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
118,19,1,5,TRABAJA,5,QUINTO,5.0,CICLO III
119,19,3,1,CESANTE,5,QUINTO,5.0,QUINTO
120,19,3,5,TRABAJA,5,QUINTO,6.0,SEXTO
121,25,1,5,TRABAJA,12,BACHILLER,12.0,BACHILLER
122,18,2,1,CESANTE,11,ONCE,11.0,ONCE
123,7,1,3,ESTUDIA Y TRABAJA,12,BACHILLER,12.0,BACHILLER
124,18,3,1,CESANTE,5,QUINTO,5.0,QUINTO
125,19,5,1,CESANTE,5,QUINTO,5.0,QUINTO
126,9,5,1,CESANTE,9,NOVENO,10.0,DECIMO
127,20,1,2,ESTUDIA,6,SEXTO,6.0,SEXTO
128,9,1,2,ESTUDIA,9,NOVENO,10.0,DECIMO
129,8,1,1,CESANTE,5,QUINTO,5.0,QUINTO
130,13,5,1,CESANTE,5,QUINTO,12.0,BACHILLER
131,19,3,5,TRABAJA,6,SEXTO,6.0,SEXTO
132,18,1,5,TRABAJA,9,NOVENO,9.0,NOVENO
133,29,3,1,CESANTE,8,OCTAVO,8.0,OCTAVO
134,8,1,2,ESTUDIA,8,OCTAVO,9.0,NOVENO
135,12,5,5,TRABAJA,10,DECIMO,10.0,DECIMO
136,20,1,2,ESTUDIA,12,BACHILLER,,CORPOSANDER
137,9,1,1,CESANTE,5,QUINTO,5.0,QUINTO
138,20,1,1,CESANTE,12,BACHILLER,12.0,BACHILLER
139,4,3,2,ESTUDIA,8,OCTAVO,9.0,NOVENO 
140,19,1,5,TRABAJA,5,QUINTO,,NINGUNA
141,18,3,1,CESANTE,5,QUINTO,5.0,QUINTO
142,5,2,5,TRABAJA,6,SEXTO,6.0,SEXTO
143,4,2,1,CESANTE,5,QUINTO,5.0,QUINTO
144,25,5,1,CESANTE,4,CUARTO,4.0,CUARTO
