,tip_familiar,delito,idDelito
131,UNIPERSONAL,HURTO AGRAVADO Y CALIFICADO,7
132,NUCLEAR,HURTO AGRAVADO,6
133,MONOPARENTAL FEMENINA PROPIA,HURTO CALIFICADO,27
134,NUCLEAR PROPIA,VENTA Y PORTE DE ESTUPEFACIENTES,20
135,MONOPARENTAL FEMENINA PROPIA,HURTO,5
136,NUCLEAR,HOMICIDIO,8
137,NUCLEAR,VIOLENCIA INTRAFAMILIAR,2
138,MONOPARENTAL FEMENINA PROPIA,HOMICIDIO,8
139,NUCLEAR,RECEPTACION,11
140,RECONSTITUIDA,HURTO AGRAVADO Y CALIFICADO,7
141,MONOPARENTAL FEMENINA PROPIA,HURTO AGRAVADO,6
142,RECONSTITUIDA,LESIONES PERSONALES,4
143,RECONSTITUIDA,RECEPTACION,11
144,EXTENSA,HOMICIDIO EN GRADO DE TENTATIVA,19
145,NUCLEAR,HURTO,5
146,RECONSTITUIDA,HURTO AGRAVADO Y CALIFICADO,7
147,RECONSTITUIDA,ABUSO SEXUAL EN MENOR DE 14 ANNOS,1
148,NUCLEAR,RECEPTACION,11
149,EXTENSA,VENTA Y PORTE DE ESTUPEFACIENTES,20
150,RECONSTITUIDA,DANNO EN BIEN AJENO,10
151,NUCLEAR,HURTO,5
152,RECONSTITUIDA,VIOLENCIA INTRAFAMILIAR,2
153,RECONSTITUIDA,LESIONES PERSONALES,4
154,NUCLEAR,HURTO AGRAVADO,6
155,MONOPARENTAL FEMENINA PROPIA,HURTO AGRAVADO Y CALIFICADO,7
156,NUCLEAR PROPIA,HURTO,5
157,MONOPARENTAL FEMENINA PROPIA,VENTA Y PORTE DE ESTUPEFACIENTES,20
158,EXTENSA,ABUSO SEXUAL EN MENOR DE 14 ANNOS,1
159,EXTENSA,VIOLENCIA INTRAFAMILIAR,2
160,MONOPARENTAL FEMENINA PROPIA,HURTO,5
161,NUCLEAR,VIOLENCIA INTRAFAMILIAR,2
162,RECONSTITUIDA,VIOLENCIA INTRAFAMILIAR,2
163,MONOPARENTAL FEMENINA PROPIA,HURTO,5
164,MONOPARENTAL FEMENINA PROPIA,HURTO AGRAVADO Y CALIFICADO,7
165,NUCLEAR,HOMICIDIO,8
166,MONOPARENTAL FEMENINA PROPIA,VIOLENCIA INTRAFAMILIAR,2
167,EXTENSA,VENTA Y PORTE DE ESTUPEFACIENTES,20
168,MONOPARENTAL FEMENINA PROPIA,VENTA Y PORTE DE ESTUPEFACIENTES,20
169,NUCLEAR,VIOLENCIA INTRAFAMILIAR,2
170,EXTENSA,HURTO AGRAVADO Y CALIFICADO,7
171,MONOPARENTAL FEMENINA PROPIA,"PORTE, TRAFICO O FABRICACION DE ESTUPEFACIENTES",3
172,NUCLEAR,ABUSO SEXUAL EN MENOR DE 14 ANNOS,1
173,MONOPARENTAL FEMENINA,RECEPTACION,11
174,NUCLEAR,HURTO AGRAVADO Y CALIFICADO,7
175,MONOPARENTAL FEMENINA PROPIA,LESIONES PERSONALES AGRAVADAS,9
176,MONOPARENTAL FEMENINA PROPIA,HURTO AGRAVADO Y CALIFICADO,7
177,NUCLEAR,RECEPTACION,11
178,MONOPARENTAL FEMENINA PROPIA,HURTO AGRAVADO Y CALIFICADO,7
179,MONOPARENTAL FEMENINA PROPIA,EXTORSION EN GRADO DE TENTATIVA,17
180,MONOPARENTAL FEMENINA PROPIA,VIOLENCIA INTRAFAMILIAR,2
181,EXTENSA,HURTO Y PORTE ILEGAL DE ARMAS,22
182,NUCLEAR,RECEPTACION,11
183,MONOPARENTAL FEMENINA PROPIA,ACCESO CARNAL VIOLENTO A MENOR DE 14 ANNOS,18
