id,escolaridad,cod_ciclo
1,PRIMERO,1
2,SEGUNDO,2
3,TERCERO,3
4,CUARTO,4
5,QUINTO,5
6,SEXTO,6
7,SEPTIMO,7
8,OCTAVO,8
9,NOVENO,9
10,DECIMO,10
11,ONCE,11
10,CICLO III,5
11,CICLO IV,9
12,CICLO V,11
13,BACHILLER,12
14,TECNICO,13
15,TECNOLOGIA,14
16,UNIVERSIDA,15
