,delito,niv_consu,ContinuidadEscolar  ,Ocupacion,Rein_delito,SCORE_NEW,Sit_joven
139,7.0,3.0,0.0,1.0,0,0.17113095238095238,
140,,,,,0,,
0,22.0,5.0,,2.0,1,0.8083333333333332,0.0
1,,,,,1,,
2,,,,,0,,
3,,,,,0,,
4,3.0,5.0,,1.0,1,0.7499999999999999,1.0
5,7.0,3.0,,1.0,1,0.17113095238095238,0.0
6,,,,,1,,
7,,,,,1,,
8,7.0,6.0,,1.0,0,0.0,0.0
9,,,,,1,,
10,,,,,1,,
11,,,,,1,,
12,,,,,0,,
13,7.0,5.0,,2.0,1,0.6916666666666668,0.0
14,,,,,1,,
15,,,,,0,,
16,7.0,3.0,,2.0,0,0.033035714285714286,0.0
17,,,,,0,,
18,,,,,1,,
19,,,,,0,,
20,7.0,5.0,,2.0,1,0.6916666666666668,0.0
21,,,,,1,,
22,,,,,0,,
23,,,,,1,,
24,10.0,5.0,,2.0,0,0.7083333333333333,0.0
25,,,,,0,,
26,,,,,1,,
27,,,,,0,,
28,7.0,5.0,,2.0,0,0.6916666666666668,0.0
29,2.0,3.0,,2.0,1,0.8300000000000001,1.0
30,,,,,0,,
31,2.0,3.0,,2.0,1,0.39847222222222217,0.0
32,,,,,1,,
33,7.0,5.0,,2.0,1,0.6416666666666666,1.0
34,,,,,1,,
35,2.0,5.0,,3.0,0,0.875,0.0
36,,,,,1,,
37,2.0,5.0,,3.0,1,0.875,0.0
38,5.0,5.0,,3.0,0,1.0,0.0
39,,,,,1,,
40,,,,,1,,
41,,,,,1,,
42,14.0,5.0,,5.0,0,0.9083333333333332,0.0
43,,,,,0,,
44,,,,,1,,
45,11.0,5.0,,6.0,0,0.6900000000000001,1.0
46,,,,,1,,
47,,,,,1,,
48,,,,,1,,
49,,,,,1,,
50,,,,,1,,
51,,,,,1,,
52,,,,,1,,
53,,,,,1,,
54,,,,,1,,
55,,,,,1,,
56,,,,,1,,
57,,,,,1,,
58,,,,,1,,
59,,,,,1,,
60,,,,,1,,
61,,,,,1,,
62,22.0,5.0,,7.0,1,1.0,0.0
63,7.0,6.0,,1.0,1,0.0,0.0
64,,,,,1,,
65,,,,,0,,
66,,,,,0,,
67,,,,,0,,
68,,,,,1,,
69,,,,,0,,
70,,,,,0,,
71,,,,,0,,
72,,,,,0,,
73,,,,,1,,
74,7.0,5.0,,1.0,1,0.975,0.0
75,,,,,1,,
76,,,,,1,,
77,,,,,1,,
78,,,,,0,,
79,9.0,3.0,,1.0,0,0.17113095238095238,0.0
80,,,,,0,,
81,,,,,0,,
82,,,,,0,,
83,,,,,0,,
84,,,,,0,,
85,,,,,0,,
86,,,,,1,,
87,1.0,1.0,,2.0,0,0.0,1.0
88,,,,,0,,
89,,,,,0,,
90,,,,,0,,
91,7.0,1.0,,1.0,1,0.0,0.0
92,,,,,0,,
93,,,,,0,,
94,,,,,0,,
95,,,,,0,,
96,,,,,0,,
97,,,,,0,,
98,,,,,0,,
99,,,,,0,,
100,,,,,1,,
101,,,,,0,,
102,27.0,3.0,,1.0,0,0.7958333333333334,0.0
103,,,,,0,,
104,14.0,1.0,,1.0,0,0.15,1.0
105,,,,,0,,
106,,,,,0,,
107,7.0,1.0,,1.0,0,0.0,0.0
108,,,,,0,,
109,,,,,0,,
110,,,,,0,,
111,,,,,1,,
112,19.0,1.0,,2.0,0,0.0,0.0
113,,,,,0,,
114,,,,,0,,
115,,,,,0,,
116,,,,,0,,
117,,,,,0,,
118,,,,,0,,
119,17.0,1.0,,1.0,0,0.3,1.0
120,7.0,3.0,,1.0,1,0.90625,1.0
121,5.0,5.0,,2.0,0,0.9425000000000001,0.0
122,,,,,1,,
123,,,,,1,,
124,,,,,0,,
125,6.0,6.0,,1.0,0,0.65,1.0
126,,,,,0,,
127,5.0,3.0,,2.0,0,0.20166666666666666,0.0
128,,,,,0,,
129,2.0,1.0,,2.0,0,0.15,1.0
130,,,,,0,,
131,,,,,0,,
132,,,,,1,,
133,,,,,1,,
134,0.0,5.0,,7.0,1,1.0,0.0
135,,,,,1,,
136,,,,,0,,
137,7.0,3.0,,1.0,0,0.17113095238095238,0.0
138,,,,,1,,
139,,,,,0,,
140,3.0,1.0,,1.0,0,0.05,0.0
